Date,Open,High,Low,Close*,Adj Close**,Volume
9-May-22,4081.27,4081.27,3975.48,3991.24,3991.24,4746120000.00
6-May-22,4128.17,4157.69,4067.91,4123.34,4123.34,4254300000.00
5-May-22,4270.43,4270.43,4106.01,4146.87,4146.87,4197620000.00
4-May-22,4181.18,4307.66,4148.91,4300.17,4300.17,4236210000.00
3-May-22,4159.78,4200.10,4147.08,4175.48,4175.48,3877530000.00
2-May-22,4130.61,4169.81,4062.51,4155.38,4155.38,4474060000.00
29-Apr-22,4253.75,4269.68,4124.28,4131.93,4131.93,3943480000.00
28-Apr-22,4222.58,4308.45,4188.63,4287.50,4287.50,3969440000.00
27-Apr-22,4186.52,4240.71,4162.90,4183.96,4183.96,3876340000.00
26-Apr-22,4278.14,4278.14,4175.04,4175.20,4175.20,3760420000.00
25-Apr-22,4255.34,4299.02,4200.82,4296.12,4296.12,4061070000.00
22-Apr-22,4385.83,4385.83,4267.62,4271.78,4271.78,3930660000.00
21-Apr-22,4489.17,4512.94,4384.47,4393.66,4393.66,3833570000.00
20-Apr-22,4472.26,4488.29,4448.76,4459.45,4459.45,3678040000.00
19-Apr-22,4390.63,4471.03,4390.63,4462.21,4462.21,3197930000.00
18-Apr-22,4385.63,4410.31,4370.30,4391.69,4391.69,3509340000.00
14-Apr-22,4449.12,4460.46,4390.77,4392.59,4392.59,3634740000.00
13-Apr-22,4394.30,4453.92,4392.70,4446.59,4446.59,3273140000.00
12-Apr-22,4437.59,4471.00,4381.34,4397.45,4397.45,3451990000.00
11-Apr-22,4462.64,4464.35,4408.38,4412.53,4412.53,3452540000.00
8-Apr-22,4494.15,4520.41,4474.60,4488.28,4488.28,3453040000.00
7-Apr-22,4474.65,4521.16,4450.30,4500.21,4500.21,4054010000.00
6-Apr-22,4494.17,4503.94,4450.04,4481.15,4481.15,4137080000.00
5-Apr-22,4572.45,4593.45,4514.17,4525.12,4525.12,3906230000.00
4-Apr-22,4547.97,4583.50,4539.21,4582.64,4582.64,3833500000.00
